district,district_record_count,district_rank,performance_score
Pune,10313,1,100.0
East Godavari,8694,2,84.3
North 24 Parganas,8547,3,82.88
Barddhaman,8209,4,79.6
Thrissur,8178,5,79.3
Hyderabad,7816,6,75.79
Warangal,7660,7,74.28
Tirunelveli,7527,8,72.99
Karimnagar,7394,9,71.7
Bengaluru,7376,10,71.52
Palakkad,7281,11,70.6
West Godavari,7153,12,69.36
Medak,7135,13,69.18
Vellore,6945,14,67.34
Ernakulam,6937,15,67.26
Guntur,6868,16,66.6
Krishna,6853,17,66.45
Thiruvananthapuram,6815,18,66.08
Nalgonda,6675,19,64.72
Mumbai,6628,20,64.27
Ahmadnagar,6625,21,64.24
Bangalore,6534,22,63.36
Coimbatore,6505,23,63.08
Malappuram,6468,24,62.72
Kancheepuram,6387,25,61.93
K.V. Rangareddy,6372,26,61.79
Prakasam,6346,27,61.53
Thanjavur,6327,28,61.35
Chittoor,6263,29,60.73
Thane,6234,30,60.45
Ganjam,6185,31,59.97
Khammam,6098,32,59.13
Visakhapatnam,6093,33,59.08
Kollam,6047,34,58.63
Hooghly,5983,35,58.01
Salem,5947,36,57.67
Tiruchirappalli,5909,37,57.3
Belgaum,5806,38,56.3
Kurnool,5740,39,55.66
Jaipur,5615,40,54.45
South 24 Parganas,5599,41,54.29
Nashik,5591,42,54.21
Kannur,5584,43,54.15
Purba Medinipur,5581,44,54.12
Adilabad,5568,45,53.99
Alappuzha,5565,46,53.96
Kozhikode,5542,47,53.74
Kottayam,5541,48,53.73
Kolhapur,5505,49,53.38
Murshidabad,5502,50,53.35
Villupuram,5414,51,52.5
Ahmedabad,5387,52,52.24
Satara,5376,53,52.13
Kangra,5334,54,51.72
Paschim Medinipur,5293,55,51.32
Tiruvallur,5288,56,51.28
Raigarh,5233,57,50.74
Thoothukkudi,5186,58,50.29
Anantapur,5165,59,50.08
Solapur,5082,60,49.28
Belagavi,5064,61,49.1
Mahabubnagar,5020,62,48.68
Cuddapah,4999,63,48.47
Nellore,4958,64,48.08
Aurangabad,4906,65,47.57
Viluppuram,4867,66,47.19
Dakshina Kannada,4865,67,47.17
Nagpur,4813,68,46.67
Nagapattinam,4805,69,46.59
Ratnagiri,4794,70,46.49
Nizamabad,4776,71,46.31
Cuttack,4759,72,46.15
Vadodara,4754,73,46.1
Nadia,4698,74,45.55
Chennai,4633,75,44.92
Tiruvannamalai,4587,76,44.48
Sangli,4567,77,44.28
Jalgaon,4561,78,44.23
Mayurbhanj,4549,79,44.11
Cuddalore,4519,80,43.82
Surat,4507,81,43.7
Srikakulam,4481,82,43.45
Pathanamthitta,4461,83,43.26
Kolkata,4308,84,41.77
Ludhiana,4279,85,41.49
Vizianagaram,4237,86,41.08
Ananthapuramu,4209,87,40.81
Patna,4208,88,40.8
Thiruvarur,4177,89,40.5
Tiruppur,4123,90,39.98
Ananthapur,4094,91,39.7
Erode,4083,92,39.59
Sivaganga,4065,93,39.42
Madurai,4008,94,38.86
Jalandhar,3960,95,38.4
Bankura,3900,96,37.82
Jalpaiguri,3875,97,37.57
Mumbai Suburban,3860,98,37.43
Kanniyakumari,3833,99,37.17
Dindigul,3808,100,36.92
Sikar,3783,101,36.68
Virudhunagar,3735,102,36.22
Pratapgarh,3730,103,36.17
Pudukkottai,3724,104,36.11
Namakkal,3654,105,35.43
Khorda,3613,106,35.03
Anand,3552,107,34.44
Lucknow,3540,108,34.33
Jaunpur,3534,109,34.27
Ajmer,3534,109,34.27
Ramanathapuram,3523,110,34.16
Azamgarh,3519,111,34.12
Muzaffarpur,3499,112,33.93
Saran,3483,113,33.77
Alwar,3369,114,32.67
Sundergarh,3369,114,32.67
Baleswar,3362,115,32.6
Nagaur,3343,116,32.42
Tumkur,3333,117,32.32
Bhadrak,3316,118,32.15
Mandi,3268,119,31.69
Mysore,3248,120,31.49
Jhunjhunun,3223,121,31.25
Hamirpur,3211,122,31.14
Amravati,3207,123,31.1
Nanded,3200,124,31.03
Mysuru,3198,125,31.01
Howrah,3196,126,30.99
Uttara Kannada,3186,127,30.89
Madhubani,3154,128,30.58
Allahabad,3143,129,30.48
Bilaspur,3142,130,30.47
Kheda,3122,131,30.27
Kanpur Nagar,3108,132,30.14
Pali,3099,133,30.05
Rae Bareli,3086,134,29.92
Dhanbad,3050,135,29.57
Hoshiarpur,3041,136,29.49
Birbhum,3033,137,29.41
Cachar,3031,138,29.39
Jodhpur,3019,139,29.27
Rajkot,3012,140,29.21
Kachchh,3010,141,29.19
Junagadh,3006,142,29.15
Ghazipur,2999,143,29.08
Bijapur,2993,144,29.02
Udupi,2992,145,29.01
Darbhanga,2974,146,28.84
Gorakhpur,2971,147,28.81
Rangareddi,2920,148,28.31
Siwan,2917,149,28.28
Khordha,2909,150,28.21
Kendujhar,2907,151,28.19
Kanyakumari,2899,152,28.11
Udaipur,2898,153,28.1
Jammu,2895,154,28.07
Tumakuru,2887,155,27.99
East Champaran,2881,156,27.94
Samastipur,2860,157,27.73
Baleshwar,2856,158,27.69
Sindhudurg,2855,159,27.68
Balangir,2852,160,27.65
