Feature,Importance
date_month_cumulative_lag_3,0.03591947195240033
bio_age_5_17_cumulative_lag_6,0.029418998939805582
bio_age_5_17_ratio_cumulative_lag_12,0.027137183123890657
date_day_ratio_cumulative_lag_6,0.02578643503631556
date_day_cumulative_ema,0.0254098911531278
date_day_ratio_cumulative,0.025331722510670812
date_day_ratio_cumulative_ema,0.024198422645373988
date_quarter_ratio_cumulative_lag_6,0.020883560553332275
date_day_cumulative_lag_3,0.01920065537656411
date_week_cumulative_ema,0.018933724732211513
date_week_ratio_cumulative_lag_3,0.018572790365785876
state_record_count_ratio_cumulative_lag_6,0.018571591192859498
district_record_count_ratio_cumulative_ema,0.017784670276183003
date_year_ratio_cumulative_lag_3,0.01762578438445757
state_rank_ratio_cumulative_lag_12,0.017419500487126875
date_week_ratio_cumulative_lag_6,0.016724769741601416
pincode_ratio_cumulative_ema,0.01652729570629462
date_day_cumulative_lag_12,0.016442474706452503
pincode_ratio_cumulative_lag_1,0.016317456877323534
date_day_cumulative_lag_6,0.015995867976065243
district_record_count_cumulative_lag_1,0.015915129807461
bio_age_5_17_ratio_cumulative_lag_3,0.015480696900757072
bio_age_5_17_cumulative_ema,0.015330599759034655
date_week_ratio_cumulative_lag_1,0.014601135441271207
date_quarter_cumulative,0.014326807341576655
date_week_ratio_cumulative,0.014173904867633971
bio_age_5_17_cumulative_lag_12,0.01382064200574259
pincode_ratio_cumulative_lag_3,0.013726788575938871
district_record_count_cumulative_lag_6,0.013708593016603767
district_record_count_cumulative_lag_12,0.01362988410744406
state_record_count_cumulative,0.013582861489772361
bio_age_17__ratio_cumulative_lag_6,0.01353452776732786
bio_age_5_17_ratio_cumulative_lag_6,0.013197520806212015
state_rank_cumulative,0.013147958453352957
date_year_cumulative_ema,0.013046308270140188
average_activity,0.012911654219113706
state_rank_ratio_cumulative_lag_6,0.012825429601044712
date_week_cumulative_lag_6,0.012625929488803167
date_year_ratio_cumulative_lag_1,0.01235969537227384
date_month_cumulative_ema,0.01216447358975794
date_month_ratio_cumulative_lag_12,0.012055519341806138
date_quarter_ratio_cumulative_lag_12,0.012022827368106462
bio_age_17__ratio_cumulative,0.011950451421208784
bio_age_17__ratio_cumulative_lag_1,0.008756563592063324
state_rank_cumulative_lag_3,0.008019599451085319
state_record_count_ratio_cumulative_ema,0.007698512048744591
date_dayofweek,0.007313642622025895
state_rank_cumulative_ema,0.007312829571718134
date_year_ratio_cumulative_ema,0.0069365170210804435
date_year_cumulative_lag_1,0.0066144865500094045
bio_age_5_17_ratio_cumulative,0.006551193781488701
state_rank_cumulative_lag_12,0.00643398588402664
bio_age_17__ratio_cumulative_lag_3,0.006311461225433479
district_record_count_cumulative,0.005722748155243652
