state,state_record_count,contribution_percent,state_rank,performance_score
Tamil Nadu,151668,9.97,1,100.0
Uttar Pradesh,135832,8.92,2,89.56
Andhra Pradesh,132523,8.71,3,87.38
Maharashtra,131166,8.62,4,86.48
Karnataka,108878,7.15,5,71.79
West Bengal,101622,6.68,6,67.0
Kerala,74645,4.9,7,49.22
Gujarat,72120,4.74,8,47.55
Bihar,71342,4.69,9,47.04
Rajasthan,71325,4.69,10,47.03
Odisha,71275,4.68,11,46.99
Telangana,66524,4.37,12,43.86
Madhya Pradesh,60525,3.98,13,39.91
Punjab,39083,2.57,14,25.77
Assam,37821,2.48,15,24.94
Jharkhand,30834,2.03,16,20.33
Chhattisgarh,27912,1.83,17,18.4
Haryana,22856,1.5,18,15.07
Himachal Pradesh,22615,1.49,19,14.91
Uttarakhand,18562,1.22,20,12.24
Jammu And Kashmir,16584,1.09,21,10.93
Orissa,8795,0.58,22,5.8
Delhi,8205,0.54,23,5.41
Tripura,6895,0.45,24,4.55
Manipur,5450,0.36,25,3.59
Goa,4078,0.27,26,2.69
Arunachal Pradesh,3314,0.22,27,2.19
Meghalaya,3304,0.22,28,2.18
Nagaland,3057,0.2,29,2.02
Mizoram,2638,0.17,30,1.74
Puducherry,2144,0.14,31,1.41
Pondicherry,1780,0.12,32,1.17
Sikkim,1745,0.11,33,1.15
Chandigarh,1322,0.09,34,0.87
Andaman And Nicobar Islands,965,0.06,35,0.64
Ladakh,497,0.03,36,0.33
Lakshadweep,382,0.03,37,0.25
Andaman & Nicobar Islands,327,0.02,38,0.22
Daman And Diu,324,0.02,39,0.21
Dadra And Nagar Haveli,294,0.02,40,0.19
Jammu & Kashmir,265,0.02,41,0.17
Daman & Diu,187,0.01,42,0.12
Dadra And Nagar Haveli And Daman And Diu,158,0.01,43,0.1
Dadra & Nagar Haveli,61,0.0,44,0.04
West Bangal,41,0.0,45,0.03
Westbengal,25,0.0,46,0.02
Chhatisgarh,5,0.0,47,0.0
Uttaranchal,2,0.0,48,0.0
Tamilnadu,1,0.0,49,0.0
