district,district_record_count,district_rank,performance_score
Pune,8226,1,100.0
North 24 Parganas,7557,2,91.87
Barddhaman,7012,3,85.24
East Godavari,6751,4,82.07
Bengaluru,6171,5,75.02
Thrissur,6045,6,73.49
Hyderabad,5985,7,72.76
West Godavari,5586,8,67.91
Guntur,5413,9,65.8
Karimnagar,5387,10,65.49
Malappuram,5385,11,65.46
Hooghly,5365,12,65.22
Prakasam,5321,13,64.69
Tirunelveli,5259,14,63.93
Warangal,5244,15,63.75
Nalgonda,5222,16,63.48
Coimbatore,5217,17,63.42
Krishna,5216,18,63.41
K.V. Rangareddy,5169,19,62.84
Medak,5162,20,62.75
Ernakulam,5143,21,62.52
Ahmadnagar,5134,22,62.41
Thiruvananthapuram,5117,23,62.21
Chittoor,5077,24,61.72
Vellore,5061,25,61.52
Thane,5044,26,61.32
South 24 Parganas,4945,27,60.11
Ganjam,4940,28,60.05
Kancheepuram,4939,29,60.04
Murshidabad,4919,30,59.8
Visakhapatnam,4907,31,59.65
Mumbai,4888,32,59.42
Khammam,4821,33,58.61
Palakkad,4771,34,58.0
Salem,4695,35,57.08
Ahmedabad,4673,36,56.81
Thanjavur,4628,37,56.26
Kurnool,4603,38,55.96
Paschim Medinipur,4598,39,55.9
Kollam,4521,40,54.96
Chennai,4502,41,54.73
Belgaum,4492,42,54.61
Kozhikode,4450,43,54.1
Nashik,4437,44,53.94
Jaipur,4431,45,53.87
Purba Medinipur,4361,46,53.01
Aurangabad,4223,47,51.34
Kolhapur,4222,48,51.33
Anantapur,4203,49,51.09
Tiruchirappalli,4201,50,51.07
Kannur,4195,51,51.0
Solapur,4190,52,50.94
Bangalore,4182,53,50.84
Nadia,4168,54,50.67
Patna,4063,55,49.39
Dakshina Kannada,4023,56,48.91
Tiruvallur,4016,57,48.82
Belagavi,3977,58,48.35
Cuddapah,3949,59,48.01
Alappuzha,3948,60,47.99
Kottayam,3948,60,47.99
Adilabad,3881,61,47.18
Surat,3878,62,47.14
Kolkata,3870,63,47.05
Nellore,3859,64,46.91
Jalpaiguri,3850,65,46.8
Srikakulam,3850,65,46.8
Raigarh,3840,66,46.68
Satara,3816,67,46.39
Vadodara,3815,68,46.38
Mahabubnagar,3807,69,46.28
Nagpur,3741,70,45.48
Villupuram,3682,71,44.76
Mayurbhanj,3566,72,43.35
Bankura,3529,73,42.9
Nagapattinam,3506,74,42.62
Kangra,3474,75,42.23
Cuddalore,3440,76,41.82
Thoothukkudi,3406,77,41.41
Jalgaon,3398,78,41.31
Mumbai Suburban,3383,79,41.13
Vizianagaram,3363,80,40.88
Nizamabad,3354,81,40.77
Tiruvannamalai,3347,82,40.69
Viluppuram,3300,83,40.12
Muzaffarpur,3249,84,39.5
Cuttack,3239,85,39.38
Pathanamthitta,3214,86,39.07
Saran,3177,87,38.62
Madurai,3172,88,38.56
Ananthapur,3138,89,38.15
Pratapgarh,3098,90,37.66
Sangli,3079,91,37.43
Thiruvarur,3075,92,37.38
Tiruppur,3067,93,37.28
Ludhiana,3058,94,37.17
Ratnagiri,3057,95,37.16
Erode,3035,96,36.9
Ananthapuramu,3008,97,36.57
Jaunpur,3004,98,36.52
Lucknow,2995,99,36.41
Azamgarh,2970,100,36.11
Howrah,2863,101,34.8
Namakkal,2860,102,34.77
Kanniyakumari,2833,103,34.44
Dindigul,2824,104,34.33
Sikar,2792,105,33.94
Madhubani,2788,106,33.89
Pudukkottai,2775,107,33.73
Birbhum,2753,108,33.47
Sivaganga,2706,109,32.9
Udupi,2699,110,32.81
East Champaran,2697,111,32.79
Allahabad,2685,112,32.64
Kanpur Nagar,2679,113,32.57
Alwar,2675,114,32.52
Darbhanga,2660,115,32.34
Cachar,2652,116,32.24
Virudhunagar,2648,117,32.19
Samastipur,2640,118,32.09
Ajmer,2637,119,32.06
Siwan,2635,120,32.03
Bhojpur,2632,121,32.0
Jalandhar,2600,122,31.61
Nanded,2593,123,31.52
Ramanathapuram,2586,124,31.44
Ghazipur,2568,125,31.22
Rae Bareli,2568,125,31.22
Khorda,2561,126,31.13
Bardhaman,2560,127,31.12
Uttara Kannada,2560,127,31.12
Gorakhpur,2545,128,30.94
Darjeeling,2543,129,30.91
Bhadrak,2531,130,30.77
Dhanbad,2504,131,30.44
Anand,2490,132,30.27
Baleswar,2420,133,29.42
Nagaur,2401,134,29.19
Bulandshahr,2396,135,29.13
Sundergarh,2395,136,29.12
Ballia,2391,137,29.07
Rajkot,2386,138,29.01
Amravati,2351,139,28.58
Bijapur,2346,140,28.52
Mysuru,2340,141,28.45
Cooch Behar,2339,142,28.43
Bilaspur,2337,143,28.41
Kheda,2335,144,28.39
Kendujhar,2328,145,28.3
Jodhpur,2327,146,28.29
Kachchh,2313,147,28.12
Jhunjhunun,2282,148,27.74
Puruliya,2275,149,27.66
Tumkur,2267,150,27.56
Vaishali,2262,151,27.5
Udaipur,2261,152,27.49
Gaya,2232,153,27.13
Balangir,2220,154,26.99
