Feature,Importance
demo_age_5_17_rolling_mean_ema,0.027084627713463573
demo_age_5_17_ratio_cumulative_lag_6,0.021994761348395554
date_day_cumulative_ema,0.020326710055573946
date_day_ratio_cumulative_ema,0.019490113847694942
demo_age_5_17_cumulative_lag_6,0.019225453715387177
demo_age_5_17_ratio_cumulative_lag_12,0.01897358995729535
date_year_ratio_cumulative_lag_3,0.018598032164609358
date_day_ratio_cumulative,0.016853332209977288
date_month_cumulative_lag_3,0.01601711428736795
date_month_ratio_cumulative_lag_12,0.014920103163671499
district_record_count_cumulative_lag_1,0.013285312062549001
state_record_count_cumulative,0.013280672638055718
demo_age_17__ratio_cumulative_lag_3,0.013115516629393703
demo_age_5_17_ratio_cumulative,0.013058313950612788
district_record_count_cumulative_lag_12,0.012539500824485073
demo_age_17__ratio_cumulative_lag_1,0.012173930655572252
date_quarter_ratio_cumulative_lag_6,0.011885114479295071
demo_age_5_17_ratio_cumulative_lag_3,0.0118056881173454
date_month_cumulative_lag_12,0.011648685794794026
date_day_cumulative_lag_3,0.011520210792091623
date_day_ratio_cumulative_lag_6,0.011444547179363307
date_week_ratio_cumulative_lag_3,0.011351557380054236
demo_age_5_17_cumulative_lag_12,0.011228424163519456
demo_age_5_17_cumulative_ema,0.011065914001765929
date_week_cumulative_ema,0.011037210935117113
date_day_ratio_cumulative_lag_12,0.010926499862259449
date_quarter_ratio_cumulative_lag_12,0.010461391699192161
date_quarter_cumulative,0.01030782588836156
state_record_count_cumulative_lag_3,0.010124736986075973
district_record_count_cumulative_lag_6,0.010055891118684584
date_year_cumulative_ema,0.009975366382865128
state_rank_cumulative_lag_6,0.009879858341441212
date_week_ratio_cumulative_lag_6,0.009818457203400233
demo_age_17__cumulative_lag_6,0.009349166636424062
pincode_ratio_cumulative_lag_1,0.009322108964482349
demo_age_5_17_rolling_mean_lag_6,0.009291322494482127
date_week_ratio_cumulative_lag_1,0.00928089387178451
district_record_count_ratio_cumulative_ema,0.009217491559817782
state_record_count_ratio_cumulative_ema,0.009202841647764871
date_day_ratio_cumulative_lag_3,0.00908804099635655
demo_age_17__cumulative_lag_12,0.009033067159930266
date_year_ratio_cumulative_lag_1,0.008881127722169372
date_day_cumulative_lag_6,0.008839839777234878
state_rank_cumulative,0.008741441376785234
date_day_cumulative_lag_12,0.008736392605167644
district_record_count_ratio_cumulative_lag_12,0.00846603239663565
state_rank_ratio_cumulative_lag_6,0.008462730977219288
state_rank_ratio_cumulative_lag_12,0.008434735384170649
state_record_count_ratio_cumulative_lag_3,0.00825136216526557
date_week_ratio_cumulative,0.008181764207540155
demo_age_17__ratio_cumulative_lag_12,0.00817088646538696
demo_age_17__ratio_cumulative,0.008046658168254901
average_activity,0.007952594801712603
demo_age_17__ratio_cumulative_lag_6,0.007902938783713929
date_year_cumulative_lag_6,0.007815007255923505
pincode_ratio_cumulative_ema,0.007639536138563535
maximum_activity,0.00746485560994929
district_record_count_cumulative_ema,0.007377100288453331
pincode_ratio_cumulative_lag_3,0.0072607797529057275
pincode_cumulative_lag_1,0.007226485656213212
demo_age_17__cumulative,0.007067129030159641
pincode_ratio_cumulative,0.006533286013244559
date_week_cumulative_lag_6,0.0063738695258000735
date_quarter_ratio_cumulative_lag_3,0.006359686192000025
