state,state_record_count,contribution_percent,state_rank,performance_score
Uttar Pradesh,116857,9.46,1,100.0
Tamil Nadu,114271,9.25,2,97.79
Andhra Pradesh,112740,9.12,3,96.48
Maharashtra,102877,8.32,4,88.04
West Bengal,95866,7.76,5,82.04
Karnataka,84541,6.84,6,72.35
Bihar,66532,5.38,7,56.93
Gujarat,56250,4.55,8,48.14
Rajasthan,55731,4.51,9,47.69
Telangana,55661,4.5,10,47.63
Kerala,55374,4.48,11,47.39
Odisha,53784,4.35,12,46.03
Madhya Pradesh,49952,4.04,13,42.75
Assam,36236,2.93,14,31.01
Punjab,26914,2.18,15,23.03
Jharkhand,25752,2.08,16,22.04
Chhattisgarh,23758,1.92,17,20.33
Haryana,17844,1.44,18,15.27
Himachal Pradesh,14419,1.17,19,12.34
Uttarakhand,13064,1.06,20,11.18
Jammu And Kashmir,12055,0.98,21,10.32
Delhi,7147,0.58,22,6.12
Orissa,6535,0.53,23,5.59
Tripura,5400,0.44,24,4.62
Manipur,4909,0.4,25,4.2
Meghalaya,3141,0.25,26,2.69
Goa,3020,0.24,27,2.58
Arunachal Pradesh,2631,0.21,28,2.25
Nagaland,2270,0.18,29,1.94
Mizoram,2188,0.18,30,1.87
Sikkim,1685,0.14,31,1.44
Puducherry,1578,0.13,32,1.35
Chandigarh,1144,0.09,33,0.98
Pondicherry,1064,0.09,34,0.91
Andaman And Nicobar Islands,611,0.05,35,0.52
Ladakh,461,0.04,36,0.39
Dadra And Nagar Haveli And Daman And Diu,270,0.02,37,0.23
Lakshadweep,241,0.02,38,0.21
Andaman & Nicobar Islands,232,0.02,39,0.2
Jammu & Kashmir,209,0.02,40,0.18
Daman And Diu,203,0.02,41,0.17
Dadra And Nagar Haveli,202,0.02,42,0.17
Daman & Diu,118,0.01,43,0.1
West Bangal,61,0.0,44,0.05
Westbengal,56,0.0,45,0.05
Dadra & Nagar Haveli,49,0.0,46,0.04
Uttaranchal,2,0.0,47,0.0
Chhatisgarh,2,0.0,47,0.0
West Bengli,2,0.0,47,0.0
Raja Annamalai Puram,1,0.0,48,0.0
Puttenahalli,1,0.0,48,0.0
Nagpur,1,0.0,48,0.0
Madanapalle,1,0.0,48,0.0
Jaipur,1,0.0,48,0.0
Darbhanga,1,0.0,48,0.0
Balanagar,1,0.0,48,0.0
100000,1,0.0,48,0.0
