district,district_record_count,district_rank,performance_score
North 24 Parganas,4202,1,100.0
Pune,4076,2,97.0
Bengaluru,3471,3,82.6
South 24 Parganas,3320,4,79.01
Jaipur,3238,5,77.06
Murshidabad,3127,6,74.42
Hyderabad,3089,7,73.51
Barddhaman,3076,8,73.2
Thane,2885,9,68.66
Malappuram,2818,10,67.06
K.V. Rangareddy,2816,11,67.02
Hooghly,2766,12,65.83
Paschim Medinipur,2645,13,62.95
Ahmedabad,2575,14,61.28
Aurangabad,2540,15,60.45
Kancheepuram,2493,16,59.33
Mumbai,2427,17,57.76
Nadia,2381,18,56.66
Purba Medinipur,2355,19,56.04
Patna,2323,20,55.28
Saran,2279,21,54.24
Nashik,2268,22,53.97
Tirunelveli,2204,23,52.45
Ahmadnagar,2202,24,52.4
Thrissur,2160,25,51.4
Medak,2146,26,51.07
Coimbatore,2127,27,50.62
Tiruvallur,2113,28,50.29
Salem,2112,29,50.26
Muzaffarpur,2111,30,50.24
Lucknow,2084,31,49.6
Vellore,2083,32,49.57
Azamgarh,2068,33,49.21
Guntur,2043,34,48.62
Pratapgarh,2008,35,47.79
Kurnool,1998,36,47.55
Madhubani,1987,37,47.29
East Champaran,1977,38,47.05
Tiruchirappalli,1972,39,46.93
East Godavari,1966,40,46.79
Alwar,1934,41,46.03
Palakkad,1881,42,44.76
Chennai,1881,42,44.76
Kolkata,1880,43,44.74
Surat,1870,44,44.5
Belagavi,1869,45,44.48
Ganjam,1867,46,44.43
Thanjavur,1864,47,44.36
Vadodara,1862,48,44.31
Samastipur,1855,49,44.15
Thiruvananthapuram,1852,50,44.07
Kanpur Nagar,1847,51,43.96
Allahabad,1818,52,43.27
Prakasam,1817,53,43.24
Gorakhpur,1814,54,43.17
Mahabubnagar,1810,55,43.07
Mumbai Suburban,1802,56,42.88
Nagaur,1799,57,42.81
Bangalore,1796,58,42.74
Jaunpur,1787,59,42.53
Bankura,1785,60,42.48
Ernakulam,1781,61,42.38
Nalgonda,1778,62,42.31
Jodhpur,1778,62,42.31
Solapur,1773,63,42.19
Kozhikode,1762,64,41.93
Sikar,1759,65,41.86
Siwan,1753,66,41.72
Jalpaiguri,1737,67,41.34
Chittoor,1736,68,41.31
Mayurbhanj,1733,69,41.24
Vaishali,1726,70,41.08
Karimnagar,1722,71,40.98
Darbhanga,1706,72,40.6
Cuddalore,1694,73,40.31
Kannur,1690,74,40.22
Belgaum,1685,75,40.1
Nagpur,1680,76,39.98
Jalgaon,1671,77,39.77
Krishna,1669,78,39.72
Visakhapatnam,1664,79,39.6
Udaipur,1650,80,39.27
Villupuram,1619,81,38.53
Kolhapur,1602,82,38.12
Gaya,1600,83,38.08
Bhojpur,1597,84,38.01
Ghazipur,1595,85,37.96
West Godavari,1588,86,37.79
Cachar,1583,87,37.67
Birbhum,1574,88,37.46
Madurai,1554,89,36.98
Kollam,1552,90,36.93
Bulandshahr,1552,90,36.93
Varanasi,1549,91,36.86
Howrah,1548,92,36.84
Tiruvannamalai,1544,93,36.74
Agra,1543,94,36.72
Ajmer,1542,95,36.7
Bharatpur,1525,96,36.29
Dakshina Kannada,1512,97,35.98
Gonda,1498,98,35.65
Ballia,1489,99,35.44
Puruliya,1488,100,35.41
Malda,1487,101,35.39
Rae Bareli,1486,102,35.36
Raigarh,1478,103,35.17
Kheri,1455,104,34.63
Pali,1451,105,34.53
Aligarh,1444,106,34.36
Jhunjhunun,1440,107,34.27
Viluppuram,1424,108,33.89
Ludhiana,1422,109,33.84
Bara Banki,1389,110,33.06
Pudukkottai,1385,111,32.96
Indore,1377,112,32.77
Sitapur,1370,113,32.6
Dhanbad,1363,114,32.44
Bhagalpur,1361,115,32.39
Cuttack,1357,116,32.29
Nizamabad,1351,117,32.15
Nellore,1343,118,31.96
Sitamarhi,1338,119,31.84
Cuddapah,1335,120,31.77
Barmer,1335,120,31.77
Erode,1332,121,31.7
Bhilwara,1329,122,31.63
Dindigul,1319,123,31.39
Khammam,1319,123,31.39
Bahraich,1319,123,31.39
Ghaziabad,1319,123,31.39
Warangal,1317,124,31.34
Bareilly,1317,124,31.34
Thoothukkudi,1308,125,31.13
Tiruppur,1308,125,31.13
Bijnor,1302,126,30.99
Cooch Behar,1300,127,30.94
Rajkot,1293,128,30.77
Hardoi,1289,129,30.68
Ranchi,1283,130,30.53
Nanded,1278,131,30.41
Nagapattinam,1270,132,30.22
Begusarai,1260,133,29.99
Sultanpur,1243,134,29.58
Purnia,1236,135,29.41
Bijapur,1233,136,29.34
Rewa,1210,137,28.8
Thiruvarur,1209,138,28.77
Raichur,1205,139,28.68
Nalanda,1204,140,28.65
Baleswar,1203,141,28.63
Kheda,1203,141,28.63
Mathura,1202,142,28.61
Basti,1200,143,28.56
Faizabad,1200,143,28.56
Alappuzha,1186,144,28.22
Anantapur,1186,144,28.22
Amethi,1183,145,28.15
Nagaon,1180,146,28.08
Kamrup,1177,147,28.01
Satara,1176,148,27.99
Adilabad,1175,149,27.96
Banaskantha,1168,150,27.8
Sagar,1159,151,27.58
Deoria,1157,152,27.53
Bhavnagar,1157,152,27.53
Satna,1156,153,27.51
Rohtas,1152,154,27.42
Ambedkar Nagar,1147,155,27.3
West Champaran,1145,156,27.25
Sangli,1142,157,27.18
Virudhunagar,1136,158,27.03
Kottayam,1132,159,26.94
Meerut,1129,160,26.87
Karimganj,1124,161,26.75
Sivaganga,1120,162,26.65
Balrampur,1118,163,26.61
Uttar Dinajpur,1113,164,26.49
Kamrup Metro,1111,165,26.44
Kota,1108,166,26.37
Unnao,1105,167,26.3
Supaul,1104,168,26.27
Anand,1104,168,26.27
Sonitpur,1103,169,26.25
Kangra,1098,170,26.13
Bilaspur,1098,170,26.13
Katihar,1098,170,26.13
Bagalkot,1097,171,26.11
Bikaner,1092,172,25.99
Nawada,1092,172,25.99
Kendujhar,1090,173,25.94
Srikakulam,1086,174,25.84
Churu,1080,175,25.7
Bhopal,1079,176,25.68
Fatehpur,1078,177,25.65
Bhadrak,1077,178,25.63
Kachchh,1076,179,25.61
Ujjain,1075,180,25.58
Namakkal,1073,181,25.54
Vijayapura,1067,182,25.39
Palghar,1064,183,25.32
Budaun,1058,184,25.18
Chhatarpur,1042,185,24.8
Khorda,1042,185,24.8
Dhule,1031,186,24.54
Gopalganj,1028,187,24.46
Buxar,1017,188,24.2
Amravati,1013,189,24.11
Darjeeling,1005,190,23.92
Junagadh,1004,191,23.89
Muzaffarnagar,1003,192,23.87
Jabalpur,1000,193,23.8
Jalor,999,194,23.77
Giridih,997,195,23.73
Yadgir,994,196,23.66
Ramanathapuram,993,197,23.63
East Khasi Hills,991,198,23.58
Balangir,988,199,23.51
Dungarpur,986,200,23.47
Jalandhar,982,201,23.37
Banka,978,202,23.27
East Singhbhum,969,203,23.06
South Delhi,965,204,22.97
Vizianagaram,965,204,22.97
Jammu,961,205,22.87
Dausa,960,206,22.85
Sundergarh,957,207,22.77
Siddharthnagar,955,208,22.73
Karauli,952,209,22.66
Yavatmal,951,210,22.63
Dharmapuri,948,211,22.56
Purba Bardhaman,945,212,22.49
Sabarkantha,944,213,22.47
Krishnagiri,942,214,22.42
Surendra Nagar,938,215,22.32
Udupi,936,216,22.28
Gwalior,935,217,22.25
Kushinagar,935,217,22.25
Mau,933,218,22.2
Dhubri,923,219,21.97
South Twenty Four Parganas,922,220,21.94
Bokaro,922,220,21.94
Saharanpur,919,221,21.87
Gulbarga,918,222,21.85
North West Delhi,915,223,21.78
Mahesana,907,224,21.58
Jhansi,902,225,21.47
Uttara Kannada,898,226,21.37
Sawai Madhopur,898,226,21.37
Beed,898,226,21.37
Gautam Buddha Nagar,896,227,21.32
Jamnagar,893,228,21.25
Bhind,893,228,21.25
Chhindwara,888,229,21.13
Hamirpur,886,230,21.09
Kendrapara,886,230,21.09
Shivpuri,886,230,21.09
Maharajganj,885,231,21.06
Dharwad,881,232,20.97
Dehradun,880,233,20.94
South West Delhi,880,233,20.94
Chittorgarh,879,234,20.92
Barpeta,876,235,20.85
Raipur,875,236,20.82
Amritsar,873,237,20.78
Shahjahanpur,868,238,20.66
Buldhana,867,239,20.63
Mainpuri,866,240,20.61
Saharsa,866,240,20.61
Davangere,865,241,20.59
Kalaburagi,864,242,20.56
Farrukhabad,863,243,20.54
Araria,854,244,20.32
Ananthapuramu,844,245,20.09
Puri,843,246,20.06
Mysuru,843,246,20.06
Bellary,842,247,20.04
Ganganagar,841,248,20.01
Latur,834,249,19.85
Sambhal,832,250,19.8
Koraput,827,251,19.68
Jhalawar,826,252,19.66
Bargarh,821,253,19.54
Dhar,820,254,19.51
Karur,812,255,19.32
Madhepura,806,256,19.18
Khargone,805,257,19.16
Hazaribagh,800,258,19.04
Pathanamthitta,800,258,19.04
Kalahandi,800,258,19.04
Mandsaur,797,259,18.97
Kanpur Dehat,797,259,18.97
Chitradurga,796,260,18.94
Haora,796,260,18.94
Bidar,792,261,18.85
