Feature,Importance
minimum_activity,0.17745561885679592
date_day_ratio_cumulative_ema,0.05840424411670485
age_5_17_ratio_cumulative,0.03988478366179747
date_month_ratio_cumulative,0.03926695522606551
date_week_ratio_cumulative,0.03889317011877936
date_day_cumulative_lag_12,0.038184382508235776
date_week_cumulative,0.03239885293496536
date_day_ratio_cumulative_lag_12,0.030094732323670784
age_18_greater_cumulative,0.02860927206508699
state_rank_cumulative_lag_12,0.027053498835127837
age_5_17_cumulative_lag_12,0.026962331368864917
age_0_5_cumulative_lag_12,0.026142873239231656
age_0_5_ratio_cumulative_lag_12,0.02571652131285926
date_day_cumulative_ema,0.024178740984616955
date_day_cumulative,0.023632503552567862
state_rank_cumulative,0.019961428756381433
pincode_cumulative_ema,0.01992029496011825
state_record_count_ratio_cumulative_ema,0.019822607858251406
district_record_count_ratio_cumulative,0.019637064181005782
date_quarter_cumulative,0.01955600024996512
age_0_5_ratio_cumulative,0.01954350224923321
date_quarter_ratio_cumulative,0.019532533761385452
date_year_cumulative,0.019512759130069054
date_day_ratio_cumulative_lag_6,0.017817835093258322
pincode_ratio_cumulative_lag_12,0.014244073378489253
state_record_count_ratio_cumulative_lag_12,0.01298193007661392
date_year_ratio_cumulative_lag_12,0.012812109864528748
date_quarter_ratio_cumulative_lag_12,0.012395407856970195
state_rank_ratio_cumulative_lag_12,0.012374508258363184
age_18_greater_cumulative_lag_3,0.009829096015266043
age_18_greater_ratio_cumulative_ema,0.008602108684176615
date_month_ratio_cumulative_lag_3,0.004900855020780165
district_record_count_ratio_cumulative_ema,0.004671332955243426
district_record_count_cumulative,0.004565563041279428
state_record_count_cumulative_ema,0.004517498624627598
age_5_17_ratio_cumulative_ema,0.004512002664346319
state_rank_ratio_cumulative_ema,0.004480455758751043
district_record_count_cumulative_lag_1,0.004357680225792367
pincode_ratio_cumulative_lag_6,0.004310122601955597
date_day_cumulative_lag_1,0.004279632093702952
pincode_ratio_cumulative_ema,0.004232261521327343
age_5_17_ratio_cumulative_lag_12,0.0029423991952452853
state_rank_cumulative_lag_3,0.0026724046497007036
age_5_17_cumulative,0.002075545893083191
date_year_cumulative_lag_6,0.0019904484260948804
date_quarter_cumulative_lag_12,0.0019058440886199502
district_record_count_ratio_cumulative_lag_12,0.0015307028114961878
date_week_ratio_cumulative_lag_12,0.001519552246141865
date_quarter_ratio_cumulative_ema,0.001467642690651785
date_month_ratio_cumulative_lag_12,0.0014667348758824381
age_18_greater_ratio_cumulative_lag_12,0.0014330884201722777
age_5_17_cumulative_lag_6,0.0013694524799340005
age_18_greater_cumulative_lag_12,0.0013167625480596744
date_week_ratio_rolling_mean_lag_6,0.0012030918547600263
pincode_ratio_cumulative_lag_1,0.00114569460182057
district_record_count_ratio_cumulative_lag_3,0.0011209363588845789
date_year_cumulative_lag_12,0.0011169454061363477
age_5_17_ratio_cumulative_lag_6,0.00111229325470114
date_day_cumulative_lag_6,0.0011112218192786591
age_0_5_cumulative_lag_3,0.0011003928114685212
age_18_greater_cumulative_ema,0.0010341539901796938
state_record_count_cumulative_lag_1,0.0010286022570481182
age_18_greater_cumulative_lag_1,0.0009897515224659744
date_month_ratio_cumulative_lag_1,0.0009621365764458636
pincode_cumulative_lag_12,0.0009514729124555253
age_5_17_cumulative_lag_1,0.000892553605674093
district_record_count_ratio_cumulative_lag_6,0.0007852135635324094
date_week_cumulative_lag_1,0.0007831088852006694
age_5_17_rolling_mean_lag_6,0.0007527387661083398
date_month_cumulative_lag_6,0.0007414779051478503
state_record_count_cumulative_lag_12,0.0007016632572196031
state_rank_cumulative_ema,0.0006890869677947921
age_5_17_ratio_rolling_mean_ema,0.0006685911064603693
date_day_ratio_cumulative_lag_3,0.0006089278534066223
age_5_17_ratio_rolling_mean_lag_3,0.0006010970614996878
age_18_greater_ratio_cumulative_lag_3,0.0005901939606778078
age_0_5_cumulative_lag_6,0.000581912222859354
state_record_count_cumulative,0.000580025532850137
date_month_cumulative,0.0005753315550223155
age_0_5_ratio_cumulative_lag_3,0.0005550784485382056
state_record_count_ratio_cumulative_lag_1,0.0005433291065599845
date_week_ratio_cumulative_ema,0.0005095974062857826
date_week_cumulative_lag_3,0.0004885931272172523
age_18_greater_ratio_cumulative,0.00048625246796703313
date_month_cumulative_lag_12,0.00044546282061972716
date_month_ratio_lag_12,0.0004448212393982939
date_quarter_ratio_cumulative_lag_6,0.0004440650742612813
age_18_greater_cumulative_lag_6,0.00041202403831149225
date_quarter_ema,0.0003934941995498684
date_week_ratio_lag_12,0.0003898484297374341
age_0_5_ratio_cumulative_lag_1,0.0003865682040188942
age_0_5_cumulative_lag_1,0.00033956540523057653
age_5_17_rolling_mean_ema,0.00031099755639855275
age_5_17_ratio_cumulative_lag_1,0.00027230112417654
state_record_count_ratio_cumulative_lag_6,0.0002627253347163478
date_quarter_cumulative_lag_3,0.0002538673528299083
state_record_count_ratio_cumulative,0.00024195184840755419
state_record_count_cumulative_lag_6,0.00024113027807158612
age_18_greater_ratio_cumulative_lag_6,0.0002397604956305423
date_year_ratio_cumulative_ema,0.00022521662122726446
age_18_greater_ratio_cumulative_lag_1,0.0002219007130070451
pincode_cumulative_lag_3,0.00021708959355659435
age_5_17_cumulative_lag_3,0.0002124718834894227
date_quarter_ratio_rolling_std_lag_6,0.000207164631939172
date_week_cumulative_lag_12,0.00020652372405865316
date_week_ratio_rolling_std_ema,0.0001978987402042159
date_month_ratio_rolling_std_lag_6,0.00019758241698609205
pincode_ratio_cumulative,0.00019414575462197423
date_quarter_cumulative_lag_6,0.0001931972248893118
date_year_ratio_cumulative_lag_1,0.00018884986025365493
date_year_cumulative_lag_1,0.00017871276373567418
total_activity,0.00015751356687739967
state_record_count_rolling_mean_lag_12,0.00015234893066043594
age_5_17_lag_6,0.0001516406411735915
date_week_cumulative_lag_6,0.00014514898245020046
date_year_ratio_cumulative_lag_3,0.00013990225896026983
age_0_5_ratio_cumulative_lag_6,0.00013951493207421312
district_record_count_cumulative_lag_12,0.00013858986622712293
district_record_count_cumulative_ema,0.00013617812764447543
date_quarter_cumulative_ema,0.0001339805241317835
state_rank_ratio_cumulative,0.00012685095245364077
age_0_5_cumulative,0.00012618265601913815
pincode_cumulative,0.00012129610553224131
date_day_cumulative_lag_3,0.00011805033954152715
age_0_5_ratio_cumulative_ema,0.00011787890620097897
age_5_17,0.0001142009315774879
state_record_count_cumulative_lag_3,0.00011079873995263568
date_year_ratio_cumulative,0.00010691442642994577
date_quarter_ratio_cumulative_lag_3,0.00010245257434730103
pincode_cumulative_lag_1,0.00010118659995999896
age_5_17_ratio_cumulative_lag_3,9.708754693484544e-05
age_0_5_cumulative_ema,9.025053480964583e-05
state_record_count_ratio_cumulative_lag_3,8.956163535869741e-05
date_month_cumulative_lag_3,8.606253446644753e-05
date_day_ratio_cumulative,8.505175058456307e-05
date_year_cumulative_ema,8.29105074357454e-05
state_rank_ratio_cumulative_lag_3,8.050705145029004e-05
age_5_17_cumulative_ema,7.785663390256349e-05
date_dayofweek,7.572626550288214e-05
date_year_cumulative_lag_3,7.45458618528604e-05
state_rank_ratio_rolling_mean_lag_12,7.132587114033847e-05
date_month_cumulative_lag_1,6.758058467996982e-05
pincode_rolling_std_ema,6.230087701260158e-05
state_rank_ratio_lag_12,6.003038564714754e-05
date_week_ratio_cumulative_lag_3,5.742272540371553e-05
date_month_ratio_cumulative_lag_6,5.6437962040604097e-05
district_record_count_ratio_cumulative_lag_1,5.61651384750087e-05
district_record_count_ratio_rolling_mean,5.616015277661729e-05
date_week_ratio_cumulative_lag_6,5.49495934547475e-05
state_rank_cumulative_lag_6,4.772290957455677e-05
state_record_count_ema,4.724382148812739e-05
pincode_cumulative_lag_6,4.6411108687313124e-05
state_rank_ratio_cumulative_lag_1,4.594323476726276e-05
date_quarter_ratio_cumulative_lag_1,4.562198991250771e-05
date_day_rolling_mean_lag_1,4.4400983647146586e-05
date_day_ratio_ema,4.353717645372889e-05
state_record_count_lag_12,3.998615975428323e-05
date_day_rolling_mean_lag_12,3.906133463518178e-05
state_rank_ratio_lag_3,3.881365477817882e-05
date_year_ratio_cumulative_lag_6,3.789774978796277e-05
date_quarter_cumulative_lag_1,3.650647651163395e-05
state_rank_cumulative_lag_1,3.311860944374469e-05
district_record_count_cumulative_lag_6,3.167235487520374e-05
average_activity,3.094944979054252e-05
date_month_rolling_mean_lag_12,3.062001812250162e-05
date_month_rolling_mean_ema,2.937878080114895e-05
age_5_17_ratio_lag_1,2.929500051654633e-05
maximum_activity,2.90928009163879e-05
age_5_17_ratio_rolling_mean_lag_1,2.785435526259564e-05
date_month_lag_6,2.454698764426252e-05
date_month_rolling_mean_lag_6,2.4526501114861587e-05
date_quarter_ratio_rolling_mean_lag_6,2.443618396049924e-05
age_0_5_ratio_rolling_std_lag_6,2.39001137494359e-05
age_5_17_ratio_rolling_std_lag_3,2.3478362047239225e-05
date_week_rolling_std_ema,2.3360682307637087e-05
date_day_lag_1,2.298322158111436e-05
date_week_cumulative_ema,2.2888460935072068e-05
date_day_lag_12,2.2856459561341695e-05
district_record_count_cumulative_lag_3,2.2170031225380452e-05
state_rank_ratio,2.119371873015944e-05
date_day_rolling_mean_lag_3,2.0533982510601385e-05
date_month_cumulative_ema,2.0371776489659794e-05
date_day_rolling_mean_ema,1.991264101559302e-05
date_day_ratio_cumulative_lag_1,1.9813408305546384e-05
date_month_ratio_rolling_std_lag_3,1.9410093142230642e-05
date_week_rolling_mean_ema,1.889336339487488e-05
district_record_count_ratio_rolling_mean_lag_12,1.8821926294648628e-05
state_record_count_ratio_lag_1,1.812189196757818e-05
date_week_rolling_mean_lag_12,1.8101484979200017e-05
date_week_ratio_rolling_std_lag_6,1.6601802616373356e-05
date_month_ratio_cumulative_ema,1.6538533962295342e-05
age_0_5_ratio_rolling_std_ema,1.6172578341497357e-05
date_week_ema,1.5878515559972816e-05
date_week_ratio_cumulative_lag_1,1.4810306372491564e-05
date_week_lag_12,1.4261996534804896e-05
pincode_ema,1.3679988018950422e-05
date_month_ratio_rolling_std_lag_12,1.3584178776011938e-05
date_quarter_ratio_rolling_mean_lag_12,1.3208147859016607e-05
pincode_ratio_cumulative_lag_3,1.1689350193363948e-05
date_quarter_ratio_lag_6,1.103231169734302e-05
age_0_5_ratio_rolling_mean_ema,1.0885682383038318e-05
pincode_rolling_mean_ema,1.028945547702245e-05
pincode_ratio_rolling_mean,1.014594204909043e-05
date_week_ratio,9.834749264015523e-06
date_month_ratio_rolling_mean_lag_6,9.360510055072205e-06
state_rank_ratio_rolling_mean_lag_3,9.025204745532942e-06
state_rank_ratio_cumulative_lag_6,8.85685632727528e-06
state_rank_ratio_lag_1,8.723966371890515e-06
date_month_ema,8.578819335090364e-06
age_0_5_rolling_std_lag_6,8.18643343285369e-06
date_year_ratio_rolling_std_ema,8.116239891914025e-06
age_5_17_ratio_lag_6,7.881838650945374e-06
pincode_ratio_lag_1,7.271022219551786e-06
state_rank_ratio_lag_6,6.988393393182221e-06
pincode_ratio,6.972539606896199e-06
date_month_ratio_rolling_mean_lag_12,6.681918626866971e-06
age_18_greater_ratio_lag_12,6.272819074368967e-06
age_5_17_ema,6.189048765732717e-06
date_week_ratio_lag_6,5.984293208041449e-06
age_0_5_ratio_rolling_mean_lag_6,5.7538117467750766e-06
date_quarter_ratio_rolling_std_lag_12,5.620837176646507e-06
date_day_rolling_std_lag_1,5.605244375074468e-06
date_month_lag_3,5.577147109851936e-06
state_record_count_ratio_rolling_mean,5.565787011579718e-06
date_week_ratio_rolling_mean_lag_1,5.506910184758396e-06
date_week_ratio_ema,5.450874894203961e-06
date_day_ratio_lag_6,5.392185887336081e-06
state_record_count_ratio,5.341065767326187e-06
age_0_5_ema,5.315908232166014e-06
date_month_lag_12,4.994678608836358e-06
date_day_ratio_rolling_mean_lag_3,4.933979712148365e-06
date_week_ratio_rolling_mean_ema,4.7063490496089986e-06
state_record_count_ratio_rolling_mean_lag_1,4.272315619763124e-06
age_5_17_ratio_rolling_std_lag_6,4.267271622794086e-06
pincode_ratio_lag_3,4.15122652160706e-06
state_rank_ratio_rolling_mean_ema,4.071922360819321e-06
pincode_ratio_rolling_mean_lag_1,4.018066739146432e-06
date_month_ratio_rolling_mean_ema,3.9205820275821856e-06
state_rank_ratio_ema,3.878347736317276e-06
state_record_count_ratio_rolling_mean_lag_12,3.7601574598990645e-06
pincode_rolling_std,3.1257929597379522e-06
state_record_count_ratio_rolling_mean_ema,3.10299938641682e-06
pincode_ratio_rolling_std_ema,2.9364981834289396e-06
date_week_ratio_rolling_mean_lag_12,2.9249058252089596e-06
age_0_5_rolling_std_lag_12,2.82915294018604e-06
age_18_greater_rolling_std_lag_3,2.8120474616616547e-06
state_rank_ratio_rolling_mean_lag_6,2.7971014949021655e-06
pincode,2.474027111393599e-06
pincode_rolling_mean_lag_3,2.3134365141412964e-06
state_rank_ratio_rolling_mean_lag_1,2.309759128931665e-06
district_record_count_ratio_rolling_mean_ema,2.183035581234083e-06
state_record_count_ratio_lag_12,2.1554305671377582e-06
state_record_count_ratio_rolling_mean_lag_6,2.1266816731386333e-06
age_0_5_rolling_mean_ema,2.011548046800456e-06
pincode_lag_12,2.0085554354675143e-06
age_0_5_ratio_ema,2.0058878215620973e-06
